sg_window,sg_poly,peak_sigma_k,peak_floor_deg_s,low_ratio,stop_ratio,case_failures,max_boundary_error_ticks,passes,selected_seg_v1
7,3,0.75,80.0,0.05,0.25,0,1,True,False
7,3,0.75,80.0,0.1,0.2,0,1,True,False
7,3,0.75,80.0,0.1,0.25,0,1,True,False
7,3,0.75,80.0,0.15,0.2,0,1,True,False
7,3,0.75,80.0,0.15,0.25,0,1,True,False
7,3,0.75,100.0,0.05,0.15,0,1,True,False
7,3,0.75,100.0,0.05,0.2,0,1,True,False
7,3,0.75,100.0,0.05,0.25,0,1,True,False
7,3,0.75,100.0,0.1,0.2,0,1,True,False
7,3,0.75,100.0,0.1,0.25,0,1,True,False
7,3,0.75,100.0,0.15,0.2,0,1,True,False
7,3,0.75,100.0,0.15,0.25,0,1,True,False
5,3,0.25,60.0,0.1,0.15,1,0,False,False
5,3,0.25,60.0,0.15,0.15,1,0,False,False
5,3,0.25,80.0,0.1,0.15,1,0,False,False
5,3,0.25,80.0,0.15,0.15,1,0,False,False
5,3,0.25,100.0,0.1,0.15,1,0,False,False
5,3,0.25,100.0,0.15,0.15,1,0,False,False
5,3,0.5,60.0,0.1,0.15,1,0,False,False
5,3,0.5,60.0,0.15,0.15,1,0,False,False
5,3,0.5,80.0,0.1,0.15,1,0,False,False
5,3,0.5,80.0,0.15,0.15,1,0,False,False
5,3,0.5,100.0,0.1,0.15,1,0,False,False
5,3,0.5,100.0,0.15,0.15,1,0,False,False
5,3,0.25,60.0,0.05,0.15,1,1,False,False
5,3,0.25,60.0,0.05,0.2,1,1,False,False
5,3,0.25,60.0,0.05,0.25,1,1,False,False
5,3,0.25,60.0,0.1,0.2,1,1,False,False
5,3,0.25,60.0,0.1,0.25,1,1,False,False
5,3,0.25,60.0,0.15,0.2,1,1,False,False
5,3,0.25,60.0,0.15,0.25,1,1,False,False
5,3,0.25,80.0,0.05,0.15,1,1,False,False
5,3,0.25,80.0,0.05,0.2,1,1,False,False
5,3,0.25,80.0,0.05,0.25,1,1,False,False
5,3,0.25,80.0,0.1,0.2,1,1,False,False
5,3,0.25,80.0,0.1,0.25,1,1,False,False
5,3,0.25,80.0,0.15,0.2,1,1,False,False
5,3,0.25,80.0,0.15,0.25,1,1,False,False
5,3,0.25,100.0,0.05,0.15,1,1,False,False
5,3,0.25,100.0,0.05,0.2,1,1,False,False
5,3,0.25,100.0,0.05,0.25,1,1,False,False
5,3,0.25,100.0,0.1,0.2,1,1,False,False
5,3,0.25,100.0,0.1,0.25,1,1,False,False
5,3,0.25,100.0,0.15,0.2,1,1,False,False
5,3,0.25,100.0,0.15,0.25,1,1,False,False
5,3,0.5,60.0,0.05,0.15,1,1,False,False
5,3,0.5,60.0,0.05,0.2,1,1,False,False
5,3,0.5,60.0,0.05,0.25,1,1,False,False
5,3,0.5,60.0,0.1,0.2,1,1,False,False
5,3,0.5,60.0,0.1,0.25,1,1,False,False
5,3,0.5,60.0,0.15,0.2,1,1,False,False
5,3,0.5,60.0,0.15,0.25,1,1,False,False
5,3,0.5,80.0,0.05,0.15,1,1,False,False
5,3,0.5,80.0,0.05,0.2,1,1,False,False
5,3,0.5,80.0,0.05,0.25,1,1,False,False
5,3,0.5,80.0,0.1,0.2,1,1,False,False
5,3,0.5,80.0,0.1,0.25,1,1,False,False
5,3,0.5,80.0,0.15,0.2,1,1,False,False
5,3,0.5,80.0,0.15,0.25,1,1,False,False
5,3,0.5,100.0,0.05,0.15,1,1,False,False
5,3,0.5,100.0,0.05,0.2,1,1,False,False
5,3,0.5,100.0,0.05,0.25,1,1,False,False
5,3,0.5,100.0,0.1,0.2,1,1,False,False
5,3,0.5,100.0,0.1,0.25,1,1,False,False
5,3,0.5,100.0,0.15,0.2,1,1,False,False
5,3,0.5,100.0,0.15,0.25,1,1,False,False
9,3,0.25,60.0,0.05,0.15,1,1,False,False
9,3,0.25,60.0,0.05,0.2,1,1,False,False
9,3,0.25,60.0,0.05,0.25,1,1,False,False
9,3,0.25,60.0,0.1,0.15,1,1,False,False
9,3,0.25,60.0,0.1,0.2,1,1,False,False
9,3,0.25,60.0,0.1,0.25,1,1,False,False
9,3,0.25,60.0,0.15,0.15,1,1,False,False
9,3,0.25,60.0,0.15,0.2,1,1,False,False
9,3,0.25,60.0,0.15,0.25,1,1,False,False
9,3,0.25,80.0,0.05,0.15,1,1,False,False
9,3,0.25,80.0,0.05,0.2,1,1,False,False
9,3,0.25,80.0,0.05,0.25,1,1,False,False
9,3,0.25,80.0,0.1,0.15,1,1,False,False
9,3,0.25,80.0,0.1,0.2,1,1,False,False
9,3,0.25,80.0,0.1,0.25,1,1,False,False
9,3,0.25,80.0,0.15,0.15,1,1,False,False
9,3,0.25,80.0,0.15,0.2,1,1,False,False
9,3,0.25,80.0,0.15,0.25,1,1,False,False
9,3,0.25,100.0,0.05,0.15,1,1,False,False
9,3,0.25,100.0,0.05,0.2,1,1,False,False
9,3,0.25,100.0,0.05,0.25,1,1,False,False
9,3,0.25,100.0,0.1,0.15,1,1,False,False
9,3,0.25,100.0,0.1,0.2,1,1,False,False
9,3,0.25,100.0,0.1,0.25,1,1,False,False
9,3,0.25,100.0,0.15,0.15,1,1,False,False
9,3,0.25,100.0,0.15,0.2,1,1,False,False
9,3,0.25,100.0,0.15,0.25,1,1,False,False
9,3,0.5,60.0,0.05,0.15,1,1,False,False
9,3,0.5,60.0,0.05,0.2,1,1,False,False
9,3,0.5,60.0,0.05,0.25,1,1,False,False
9,3,0.5,60.0,0.1,0.15,1,1,False,False
9,3,0.5,60.0,0.1,0.2,1,1,False,False
9,3,0.5,60.0,0.1,0.25,1,1,False,False
9,3,0.5,60.0,0.15,0.15,1,1,False,False
9,3,0.5,60.0,0.15,0.2,1,1,False,False
9,3,0.5,60.0,0.15,0.25,1,1,False,False
9,3,0.5,80.0,0.05,0.15,1,1,False,False
9,3,0.5,80.0,0.05,0.2,1,1,False,False
9,3,0.5,80.0,0.05,0.25,1,1,False,False
9,3,0.5,80.0,0.1,0.15,1,1,False,False
9,3,0.5,80.0,0.1,0.2,1,1,False,False
9,3,0.5,80.0,0.1,0.25,1,1,False,False
9,3,0.5,80.0,0.15,0.15,1,1,False,False
9,3,0.5,80.0,0.15,0.2,1,1,False,False
9,3,0.5,80.0,0.15,0.25,1,1,False,False
9,3,0.5,100.0,0.05,0.15,1,1,False,False
9,3,0.5,100.0,0.05,0.2,1,1,False,False
9,3,0.5,100.0,0.05,0.25,1,1,False,False
9,3,0.5,100.0,0.1,0.15,1,1,False,False
9,3,0.5,100.0,0.1,0.2,1,1,False,False
9,3,0.5,100.0,0.1,0.25,1,1,False,False
9,3,0.5,100.0,0.15,0.15,1,1,False,False
9,3,0.5,100.0,0.15,0.2,1,1,False,False
9,3,0.5,100.0,0.15,0.25,1,1,False,False
9,3,0.75,60.0,0.05,0.15,1,1,False,False
9,3,0.75,60.0,0.05,0.2,1,1,False,False
9,3,0.75,60.0,0.05,0.25,1,1,False,False
9,3,0.75,60.0,0.1,0.15,1,1,False,False
9,3,0.75,60.0,0.1,0.2,1,1,False,False
9,3,0.75,60.0,0.1,0.25,1,1,False,False
9,3,0.75,60.0,0.15,0.15,1,1,False,False
9,3,0.75,60.0,0.15,0.2,1,1,False,False
9,3,0.75,60.0,0.15,0.25,1,1,False,False
9,3,0.75,80.0,0.05,0.15,1,1,False,False
9,3,0.75,80.0,0.05,0.2,1,1,False,False
9,3,0.75,80.0,0.05,0.25,1,1,False,False
9,3,0.75,80.0,0.1,0.15,1,1,False,False
9,3,0.75,80.0,0.1,0.2,1,1,False,False
9,3,0.75,80.0,0.1,0.25,1,1,False,False
9,3,0.75,80.0,0.15,0.15,1,1,False,False
9,3,0.75,80.0,0.15,0.2,1,1,False,False
9,3,0.75,80.0,0.15,0.25,1,1,False,False
9,3,0.75,100.0,0.05,0.15,1,1,False,False
9,3,0.75,100.0,0.05,0.2,1,1,False,False
9,3,0.75,100.0,0.05,0.25,1,1,False,False
9,3,0.75,100.0,0.1,0.15,1,1,False,False
9,3,0.75,100.0,0.1,0.2,1,1,False,False
9,3,0.75,100.0,0.1,0.25,1,1,False,False
9,3,0.75,100.0,0.15,0.15,1,1,False,False
9,3,0.75,100.0,0.15,0.2,1,1,False,False
9,3,0.75,100.0,0.15,0.25,1,1,False,False
